Label,Tweet
positive,"RT @nspector4: Obama's approach was to manage US decline, while Trump rages against that decline."
positive,RT @renato_mariotti: Trump’s team not only argues that he can pardon himself but also argues that he has unlimited power to investigate his…
positive,@TheRickWilson See Rick.... Comey MADE Trump collude. https://t.co/W6GOIKAYuT
positive,"RT @neeratanden: My favorite thing in the world is when people who actually paved the way for Trump, like Maureen Dowd, blame people who fo…"
positive,RT @FoxNews: .@CLewandowski_ says Trump legal team 'will take it to court' if Mueller subpoenas president https://t.co/xc7lPkMwUv
positive,RT @FoxNews: .@CLewandowski_ says Trump legal team 'will take it to court' if Mueller subpoenas president https://t.co/xc7lPkMwUv
positive,"RT @TexaLonestar: I have never seen so much disrespect in my life, but I blame the media! Due to their hateful Rhetoric its become okay to…"
negative,I just retweeted what I sent to trump.  This time without his address so it stuck. He’s a sensitive little boy.
positive,RT @CarmineZozzora: Every success Trump has at home or abroad is a dagger to the hearts of the seditious Left who‘ve dialed up their standa…
positive,RT @politico: Surreal Trump-Kim summit defies diplomatic playbook https://t.co/gdu1faENZi
positive,"RT @BillKristol: So Jay Sekulow, Trump's lawyer, lied in July 2017. He in effect retracted the lie privately in a January 2018 letter to th…"
positive,RT @JesseCharlesLee: It is drastically understated &amp; under-understood: Republicans in Congress could have stood up and put a leash on Trump…
positive,"RT @jacob4kids: #SundayMorning
Trump ignores #PrideMonth again.
So he is ignoring heroes like Mark Bingham. He was one of the brave America…"
positive,Senator Urges Colleagues to Work Through Weekends and Recess To Confirm Trump Nominees https://t.co/qKPJKtLDxe
positive,@Alyssa_Milano What about the spy that Obama and Hillary had inside the Trump campaign? I would be willing to bet t… https://t.co/6CckYmxxWe
